Dataset,Algorithm,Time(us),Profit,Weight,Match (%)
p01,2-Approx,2,309,165,100
p01,DP,16,309,165,100
p01,FPTAS,20,309,165,100
p01,BnB,4,309,165,100
p01,GA,20802,309,165,100
p02,2-Approx,2,47,23,40
p02,DP,4,51,26,100
p02,FPTAS,3,51,26,100
p02,BnB,4,51,26,100
p02,GA,13458,51,26,100
p03,2-Approx,1,146,179,66
p03,DP,4,150,190,100
p03,FPTAS,2,150,190,100
p03,BnB,3,150,190,100
p03,GA,18959,150,190,100
p04,2-Approx,1,102,48,42
p04,DP,4,107,50,100
p04,FPTAS,3,107,50,100
p04,BnB,2,107,50,100
p04,GA,17020,107,50,100
p05,2-Approx,5,858,97,62
p05,DP,8,900,104,100
p05,FPTAS,4,898,103,62
p05,BnB,6,900,104,100
p05,GA,22489,900,104,100
p06,2-Approx,1,1478,140,42
p06,DP,5,1735,169,100
p06,FPTAS,4,1735,169,100
p06,BnB,9,1735,169,100
p06,GA,18834,1735,169,100
p07,2-Approx,2,1441,740,86
p07,DP,39,1458,749,100
p07,FPTAS,40,737,377,73
p07,BnB,17,1444,750,46
p07,GA,25543,1448,749,73
p08,2-Approx,3,13415886,6323699,83
p08,DP,930791,13549094,6402560,100
p08,FPTAS,160,4375559,2027790,66
p08,BnB,15,13295288,6383099,70
p08,GA,27418,13410139,6376602,79
